index,Term,LoanStatus,BorrowerRate,ProsperRating (Alpha),ListingCategory (numeric),EmploymentStatus,DelinquenciesLast7Years,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,LoanOriginationDate,Recommendations,Investors
159,36,Completed,0.2155,C,Home Improvement,Full-time,0.0,3493.75,0.0,3000,2010-03-12,0,146
165,36,Completed,0.093,AA,Business,Full-time,0.0,5250.0,0.0,9000,2010-03-30,0,413
170,36,Completed,0.2499,D,Other,Not employed,0.0,0.0,0.0,10000,2012-04-17,0,161
171,36,Completed,0.092,A,Business,Full-time,0.0,5586.5,0.0,6500,2010-03-25,0,209
179,36,Defaulted,0.3073,E,Home Improvement,Employed,0.0,4583.333333,1.0,5500,2011-12-20,0,45
185,36,Defaulted,0.2365,C,Debt Consolidation,Self-employed,0.0,3333.333333,0.0,6000,2010-08-09,0,243
186,36,Defaulted,0.3177,HR,Home Improvement,Not employed,83.0,0.0,0.0,4000,2012-02-16,0,45
194,36,Completed,0.2599,D,Other,Employed,1.0,4166.666667,0.0,3800,2011-10-24,0,48
197,36,Completed,0.1621,B,Debt Consolidation,Employed,0.0,2083.333333,0.0,3000,2011-12-22,0,58
198,36,Completed,0.2575,D,Other,Employed,0.0,10000.0,1.0,3000,2010-08-09,0,53
200,36,Defaulted,0.3199,HR,Business,Employed,0.0,5500.0,0.0,4000,2011-09-30,0,13
218,36,Defaulted,0.1559,B,Debt Consolidation,Self-employed,0.0,4416.666667,2.0,10000,2013-03-18,0,180
219,36,Completed,0.197,C,Debt Consolidation,Full-time,0.0,12500.0,0.0,5500,2010-01-25,0,278
223,36,Completed,0.1099,A,Debt Consolidation,Employed,0.0,3000.0,0.0,7000,2013-10-10,0,1
230,60,Completed,0.1219,A,Debt Consolidation,Employed,2.0,3666.666667,0.0,8000,2013-08-08,0,1
239,36,Completed,0.0899,A,Other,Employed,0.0,6000.0,1.0,2000,2012-03-13,0,43
240,36,Completed,0.2499,D,Home Improvement,Employed,0.0,2291.666667,0.0,2000,2012-05-29,0,28
242,36,Completed,0.322,E,Debt Consolidation,Employed,0.0,4504.166667,1.0,7500,2010-12-16,0,96
245,12,Completed,0.0817,A,Debt Consolidation,Employed,0.0,8333.333333,0.0,10000,2012-07-06,0,21
248,36,Completed,0.201,C,Debt Consolidation,Full-time,0.0,4333.333333,1.0,1500,2009-11-04,1,59
253,36,Completed,0.275,D,Debt Consolidation,Employed,0.0,2583.333333,0.0,5000,2010-10-25,0,139
255,36,Completed,0.2379,D,Other,Full-time,0.0,2083.333333,0.0,3000,2010-01-15,0,94
260,36,Defaulted,0.3149,E,Debt Consolidation,Employed,1.0,2666.666667,0.0,6000,2011-10-17,0,2
262,36,Defaulted,0.2958,E,Debt Consolidation,Employed,5.0,3500.0,0.0,2500,2012-05-16,0,24
265,36,Completed,0.3177,HR,Debt Consolidation,Employed,0.0,2750.0,0.0,4000,2012-07-03,0,86
266,36,Defaulted,0.3177,HR,Debt Consolidation,Employed,0.0,3750.0,0.0,4000,2012-06-01,0,16
267,36,Completed,0.3199,E,Debt Consolidation,Employed,0.0,5000.0,0.0,7500,2011-06-22,0,103
269,36,Completed,0.3495,HR,Debt Consolidation,Full-time,0.0,3958.333333,1.0,2500,2010-05-20,1,34
280,36,Completed,0.3177,HR,Other,Employed,0.0,6666.666667,1.0,4000,2012-08-30,0,45
283,36,Completed,0.139,A,Debt Consolidation,Employed,0.0,3750.0,0.0,4500,2011-09-07,0,78
284,36,Defaulted,0.1874,C,Other,Employed,0.0,6000.0,1.0,7000,2012-04-12,0,123
287,36,Completed,0.2599,D,Other,Employed,0.0,10000.0,0.0,10000,2011-11-30,0,21
292,36,Completed,0.2839,E,Debt Consolidation,Employed,0.0,5000.0,0.0,4000,2012-08-08,0,44
297,36,Defaulted,0.2287,D,Debt Consolidation,Full-time,0.0,2000.0,1.0,5025,2012-03-12,0,102
302,36,Defaulted,0.2625,D,Debt Consolidation,Full-time,0.0,4183.333333,0.0,2500,2010-06-14,0,68
303,36,Defaulted,0.2699,D,Debt Consolidation,Self-employed,0.0,2500.0,0.0,4000,2011-02-16,0,84
305,36,Completed,0.3435,E,Auto,Employed,1.0,2916.666667,0.0,1500,2010-09-21,0,40
309,36,Completed,0.139,A,Other,Employed,0.0,5250.0,0.0,15000,2011-09-27,0,230
319,36,Completed,0.275,D,Debt Consolidation,Employed,8.0,8750.0,0.0,7500,2010-11-18,0,205
328,36,Defaulted,0.3177,HR,Debt Consolidation,Employed,1.0,5475.0,0.0,4000,2012-10-26,0,37
335,36,Completed,0.3177,HR,Other,Not employed,0.0,0.0,0.0,2000,2012-03-27,0,47
342,36,Defaulted,0.2599,D,Debt Consolidation,Employed,0.0,2414.5,0.0,2000,2011-03-07,0,44
344,36,Defaulted,0.095,AA,Debt Consolidation,Full-time,0.0,3000.0,0.0,5000,2009-12-04,0,205
353,12,Completed,0.19,D,Other,Employed,0.0,15000.0,0.0,2000,2011-12-22,0,9
354,36,Completed,0.34,HR,Business,Self-employed,0.0,4166.666667,1.0,2500,2010-11-26,0,56
360,12,Completed,0.2499,D,Auto,Employed,0.0,4333.333333,0.0,3000,2011-07-06,0,49
361,36,Completed,0.2899,E,Debt Consolidation,Full-time,20.0,3500.0,2.0,4500,2011-05-18,0,29
363,36,Completed,0.3177,HR,Other,Employed,0.0,3750.0,0.0,4000,2012-02-16,0,2
371,36,Completed,0.1385,B,Other,Full-time,0.0,6166.666667,0.0,4000,2010-02-26,0,107
379,36,Defaulted,0.26,HR,Debt Consolidation,Full-time,0.0,3163.333333,3.0,4000,2010-11-26,0,91
381,36,Completed,0.3199,E,Business,Employed,4.0,6666.666667,0.0,7500,2011-06-14,0,114
385,12,Completed,0.2343,E,Business,Employed,1.0,6666.666667,0.0,4000,2012-05-11,0,84
390,36,Completed,0.2699,D,Other,Self-employed,0.0,12500.0,0.0,7000,2011-07-20,0,31
391,36,Defaulted,0.1902,C,Debt Consolidation,Employed,0.0,3631.166667,1.0,3000,2012-05-25,0,54
393,36,Completed,0.092,A,Debt Consolidation,Full-time,0.0,16666.666667,0.0,4700,2010-07-12,0,135
396,60,Completed,0.2124,B,Debt Consolidation,Employed,0.0,2916.666667,0.0,11000,2012-09-21,0,52
397,60,Defaulted,0.2969,E,Other,Full-time,21.0,4166.666667,3.0,4000,2013-04-23,0,58
406,36,Defaulted,0.325,D,Home Improvement,Full-time,7.0,8083.333333,1.0,8000,2010-02-26,0,62
407,60,Completed,0.3304,E,Debt Consolidation,Employed,15.0,7083.333333,3.0,4000,2012-03-19,0,21
408,12,Completed,0.1224,B,Debt Consolidation,Employed,0.0,8333.333333,0.0,6950,2012-07-18,0,12
411,36,Completed,0.103,AA,Debt Consolidation,Full-time,0.0,8750.0,0.0,20000,2010-02-26,0,685
414,36,Completed,0.111,A,Debt Consolidation,Full-time,0.0,6083.333333,4.0,10000,2011-11-14,0,131
415,36,Completed,0.3435,E,Debt Consolidation,Employed,1.0,4333.333333,0.0,7500,2010-09-10,0,235
419,36,Defaulted,0.3134,HR,Other,Other,0.0,1061.0,1.0,4000,2013-05-22,0,50
420,36,Completed,0.2124,C,Debt Consolidation,Employed,0.0,10000.0,0.0,9000,2013-08-14,0,98
422,36,Completed,0.1115,A,Debt Consolidation,Employed,0.0,6666.666667,0.0,10000,2010-10-28,0,292
424,36,Defaulted,0.2499,D,Other,Employed,0.0,2916.666667,0.0,15000,2012-05-17,0,284
425,36,Completed,0.34,C,Debt Consolidation,Full-time,0.0,2750.0,0.0,2500,2009-11-09,0,30
428,36,Defaulted,0.3199,E,Debt Consolidation,Employed,0.0,11429.583333,0.0,7500,2011-03-18,0,80
436,36,Defaulted,0.274,D,Business,Full-time,0.0,3033.333333,1.0,7500,2010-11-30,1,224
438,36,Defaulted,0.3058,E,Debt Consolidation,Employed,10.0,6250.0,0.0,4000,2012-01-24,0,2
441,36,Defaulted,0.3199,E,Business,Employed,0.0,2666.666667,0.0,7500,2011-05-04,0,42
449,36,Completed,0.3177,HR,Home Improvement,Employed,4.0,5416.666667,0.0,4000,2012-09-28,0,62
451,36,Completed,0.1609,B,Debt Consolidation,Employed,0.0,2884.583333,3.0,7000,2011-11-23,0,142
458,60,Completed,0.2045,C,Debt Consolidation,Employed,0.0,5000.0,0.0,7000,2013-11-14,0,7
459,36,Completed,0.1799,B,Debt Consolidation,Employed,0.0,3133.333333,0.0,13500,2011-09-07,0,111
460,60,Completed,0.2319,C,Debt Consolidation,Employed,21.0,7500.0,0.0,10000,2013-07-22,0,17
466,36,Completed,0.1449,B,Other,Full-time,17.0,3083.333333,1.0,2500,2012-03-20,0,45
470,60,Defaulted,0.2498,C,Debt Consolidation,Employed,2.0,1916.666667,0.0,10000,2012-09-11,0,5
486,36,Completed,0.1949,C,Other,Employed,0.0,6500.0,0.0,14584,2011-03-22,0,234
489,36,Defaulted,0.274,D,Debt Consolidation,Full-time,7.0,5416.666667,0.0,5000,2010-01-28,0,170
492,12,Completed,0.1177,B,Debt Consolidation,Employed,4.0,8500.0,0.0,4000,2013-02-20,0,72
493,36,Defaulted,0.3177,HR,Debt Consolidation,Other,0.0,3750.0,0.0,4000,2012-04-17,0,5
497,36,Completed,0.275,D,Business,Retired,0.0,6200.0,0.0,5000,2010-08-24,0,72
501,36,Defaulted,0.21,HR,Other,Full-time,0.0,2500.0,1.0,1000,2010-06-11,0,31
512,36,Completed,0.15,AA,Home Improvement,Full-time,0.0,9166.666667,0.0,15000,2010-07-28,0,201
522,36,Completed,0.2255,C,Other,Full-time,0.0,5000.0,0.0,5000,2010-06-08,0,102
523,36,Completed,0.275,D,Other,Employed,21.0,4125.0,0.0,3000,2010-11-16,0,79
525,36,Completed,0.2599,D,Debt Consolidation,Employed,0.0,6250.0,0.0,10000,2011-10-31,0,13
527,36,Completed,0.3269,HR,Debt Consolidation,Employed,0.0,5916.666667,0.0,1500,2010-11-23,0,27
531,12,Completed,0.1279,B,Other,Full-time,0.0,5666.666667,3.0,2000,2012-08-31,0,21
537,36,Completed,0.3199,E,Debt Consolidation,Employed,0.0,3500.0,0.0,6290,2011-05-18,0,121
543,36,Defaulted,0.35,HR,Home Improvement,Full-time,36.0,4166.666667,0.0,3000,2010-01-26,0,97
545,36,Completed,0.236,C,Home Improvement,Full-time,0.0,2833.333333,0.0,21500,2009-11-04,0,718
551,36,Completed,0.2574,D,Debt Consolidation,Employed,0.0,2083.333333,2.0,4000,2011-10-12,0,56
553,36,Completed,0.2511,D,Debt Consolidation,Employed,0.0,4416.666667,0.0,10000,2011-12-22,0,4
558,36,Defaulted,0.2599,D,Debt Consolidation,Employed,0.0,2529.166667,0.0,7500,2011-03-28,0,117
561,36,Completed,0.2199,D,Other,Employed,6.0,6000.0,2.0,3200,2013-04-10,0,44
565,60,Completed,0.2235,D,Debt Consolidation,Self-employed,9.0,6250.0,0.0,10000,2013-11-27,0,83
567,36,Completed,0.26,HR,Home Improvement,Full-time,1.0,3416.666667,1.0,2100,2009-11-09,2,64
571,36,Completed,0.3199,E,Debt Consolidation,Employed,1.0,4500.0,0.0,7500,2011-01-31,0,79
575,60,Completed,0.2962,E,Debt Consolidation,Employed,19.0,3083.333333,2.0,2100,2013-01-17,0,23
584,12,Completed,0.1434,C,Other,Employed,0.0,6000.0,0.0,4000,2012-03-02,0,95
588,36,Completed,0.1129,A,Debt Consolidation,Employed,0.0,4916.666667,1.0,25000,2011-09-30,0,106
591,60,Completed,0.1551,A,Debt Consolidation,Employed,0.0,7083.333333,0.0,13000,2012-07-18,0,15
596,36,Completed,0.2499,D,Other,Employed,0.0,4541.666667,0.0,15000,2012-05-08,0,243
598,36,Completed,0.3199,E,Debt Consolidation,Employed,0.0,6180.0,0.0,7000,2011-08-16,0,12
600,36,Completed,0.295,D,Other,Employed,31.0,7916.666667,0.0,3500,2011-01-11,0,20
607,60,Defaulted,0.3232,E,Home Improvement,Employed,0.0,5500.0,0.0,4000,2012-11-20,0,81
608,36,Completed,0.071,AA,Home Improvement,Full-time,0.0,8833.333333,0.0,2500,2010-06-30,0,76
613,36,Completed,0.0974,A,Debt Consolidation,Employed,0.0,13333.333333,1.0,20500,2011-12-29,0,335
617,36,Completed,0.149,B,Auto,Employed,0.0,3333.333333,0.0,3500,2010-12-30,0,56
623,36,Defaulted,0.2725,D,Debt Consolidation,Part-time,1.0,2500.0,1.0,5000,2010-05-18,0,146
627,36,Completed,0.2909,E,Debt Consolidation,Employed,3.0,1666.666667,0.0,2500,2012-08-31,0,6
634,36,Completed,0.3125,HR,Business,Self-employed,0.0,3500.0,1.0,4000,2011-10-06,0,88
645,36,Completed,0.1768,B,Other,Employed,1.0,11250.0,0.0,15000,2012-04-24,0,229
656,36,Completed,0.199,C,Home Improvement,Retired,2.0,5000.0,1.0,2500,2010-02-26,0,113
658,60,Completed,0.0869,AA,Debt Consolidation,Employed,0.0,10000.0,2.0,10000,2013-07-10,0,179
675,60,Completed,0.3027,D,Other,Employed,0.0,2083.333333,0.0,7000,2012-01-11,0,68
677,60,Completed,0.2059,C,Debt Consolidation,Employed,0.0,12083.333333,0.0,25000,2013-05-28,0,1
683,36,Completed,0.2295,C,Auto,Full-time,0.0,7666.666667,0.0,16000,2010-01-14,0,599
688,36,Completed,0.2699,D,Other,Not employed,0.0,0.0,0.0,2500,2011-07-26,0,11
703,36,Completed,0.0714,AA,Debt Consolidation,Part-time,0.0,1666.666667,1.0,1000,2010-06-04,0,18
707,36,Defaulted,0.2124,C,Debt Consolidation,Employed,0.0,6500.0,0.0,15000,2013-02-11,0,259
710,36,Completed,0.1365,B,Business,Employed,0.0,9083.333333,1.0,15000,2010-09-24,0,315
717,36,Completed,0.35,HR,Debt Consolidation,Full-time,0.0,6250.0,1.0,4000,2010-06-01,0,71
718,36,Defaulted,0.1509,B,Debt Consolidation,Employed,0.0,2715.666667,3.0,10000,2013-07-02,0,1
720,36,Completed,0.0799,AA,Debt Consolidation,Employed,0.0,10000.0,1.0,14000,2011-07-29,0,143
724,36,Completed,0.2371,C,Debt Consolidation,Full-time,0.0,6250.0,1.0,4500,2009-11-03,0,145
726,36,Completed,0.0899,A,Home Improvement,Employed,0.0,3500.0,2.0,6000,2012-02-28,0,53
727,12,Completed,0.1304,C,Debt Consolidation,Employed,16.0,2625.0,2.0,2000,2012-05-24,0,28
728,36,Completed,0.35,E,Business,Self-employed,0.0,7083.333333,0.0,1000,2009-08-28,0,5
745,36,Completed,0.199,C,Debt Consolidation,Full-time,8.0,4166.666667,1.0,4000,2010-05-13,0,79
751,36,Completed,0.094,AA,Business,Full-time,0.0,6516.666667,0.0,6000,2009-10-15,0,251
752,36,Completed,0.1299,A,Debt Consolidation,Self-employed,3.0,12500.0,1.0,3500,2013-07-19,0,1
753,36,Completed,0.3073,E,Debt Consolidation,Employed,14.0,2250.0,3.0,4000,2012-01-10,0,54
754,36,Completed,0.0974,A,Business,Employed,0.0,2583.333333,0.0,10000,2012-10-24,0,130
757,60,Completed,0.149,A,Home Improvement,Employed,0.0,12500.0,0.0,10170,2011-07-08,0,145
760,36,Completed,0.2,HR,Debt Consolidation,Full-time,0.0,6250.0,1.0,1500,2010-01-20,0,75
768,36,Completed,0.35,HR,Home Improvement,Full-time,2.0,4916.666667,0.0,1500,2009-11-27,0,19
777,60,Defaulted,0.1076,AA,Debt Consolidation,Employed,5.0,3791.666667,0.0,10000,2012-10-30,0,137
780,36,Completed,0.295,D,Other,Employed,3.0,3500.0,0.0,2500,2010-12-20,0,64
784,36,Defaulted,0.1254,A,Debt Consolidation,Employed,0.0,4250.0,0.0,5000,2011-12-20,0,97
789,36,Defaulted,0.3199,HR,Business,Self-employed,9.0,5750.0,0.0,3151,2011-06-24,0,55
792,36,Defaulted,0.2324,D,Other,Employed,0.0,5416.666667,1.0,15000,2012-10-02,0,326
803,60,Completed,0.287,D,Other,Employed,0.0,8250.0,0.0,9500,2012-07-19,0,18
804,36,Completed,0.2699,D,Other,Employed,0.0,3833.333333,0.0,2000,2011-06-27,0,32
809,36,Completed,0.092,A,Home Improvement,Full-time,0.0,2583.333333,0.0,3000,2010-06-25,0,59
810,60,Completed,0.2085,B,Debt Consolidation,Employed,0.0,3500.0,0.0,7000,2012-06-27,0,95
818,36,Completed,0.2452,D,Other,Other,0.0,2000.0,0.0,2000,2012-02-29,0,1
839,36,Completed,0.199,C,Other,Full-time,44.0,5416.666667,0.0,1000,2010-07-26,0,20
845,60,Completed,0.1169,A,Debt Consolidation,Self-employed,0.0,5000.0,1.0,10000,2013-07-26,0,113
846,36,Completed,0.25,B,Business,Employed,0.0,3166.666667,0.0,15000,2010-11-30,0,330
847,36,Completed,0.1115,A,Debt Consolidation,Employed,0.0,25000.0,0.0,10000,2010-09-30,0,281
849,36,Completed,0.071,AA,Debt Consolidation,Part-time,0.0,800.0,0.0,1000,2010-07-20,0,29
855,36,Completed,0.2699,D,Debt Consolidation,Employed,0.0,4750.0,0.0,12000,2011-07-18,0,110
858,36,Completed,0.189,C,Home Improvement,Full-time,0.0,6000.0,0.0,10000,2009-08-10,0,347
861,36,Completed,0.0839,AA,Debt Consolidation,Employed,0.0,8375.0,0.0,6000,2012-09-28,0,118
876,36,Completed,0.127,A,Other,Employed,0.0,8333.333333,0.0,12500,2012-04-26,0,132
878,36,Completed,0.277,E,Other,Employed,8.0,6000.0,1.0,3000,2012-10-02,0,17
881,36,Defaulted,0.3149,E,Business,Employed,1.0,12000.0,0.0,6000,2011-11-03,0,13
885,36,Completed,0.1621,B,Other,Employed,18.0,1690.416667,0.0,2000,2012-01-13,0,43
893,36,Defaulted,0.2399,D,Other,Full-time,15.0,4130.416667,2.0,2200,2011-07-22,0,2
895,36,Defaulted,0.3177,HR,Other,Self-employed,0.0,14.583333,0.0,4000,2012-02-02,0,1
898,36,Completed,0.2899,E,Debt Consolidation,Employed,0.0,9166.666667,1.0,7500,2011-05-19,0,35
904,36,Completed,0.0854,AA,Debt Consolidation,Employed,1.0,7750.0,0.0,7900,2011-10-27,1,92
913,12,Completed,0.0499,AA,Other,Employed,0.0,10833.333333,0.0,5000,2011-02-25,0,98
923,36,Completed,0.149,B,Home Improvement,Employed,3.0,4083.333333,0.0,7500,2010-12-01,0,192
928,36,Defaulted,0.3199,E,Business,Other,8.0,5833.333333,0.0,5404,2011-05-31,0,108
939,36,Completed,0.2599,D,Debt Consolidation,Employed,1.0,3833.333333,0.0,3000,2011-04-29,0,33
942,12,Completed,0.2499,D,Other,Employed,34.0,8583.333333,0.0,4500,2011-07-20,0,78
950,36,Completed,0.1035,A,Debt Consolidation,Full-time,0.0,4000.0,0.0,10000,2009-09-11,0,392
951,36,Completed,0.3177,HR,Business,Self-employed,1.0,4000.0,0.0,4000,2012-04-27,0,32
952,36,Completed,0.2287,D,Debt Consolidation,Employed,1.0,10333.333333,1.0,15000,2012-06-07,0,9
959,36,Completed,0.3177,HR,Home Improvement,Employed,16.0,8333.333333,0.0,4000,2012-02-24,0,10
960,36,Completed,0.3177,HR,Other,Employed,0.0,5416.666667,0.0,4000,2012-07-02,0,15
972,36,Completed,0.3177,HR,Other,Employed,0.0,3687.5,0.0,4000,2012-07-25,0,24
973,12,Completed,0.2254,E,Other,Not employed,12.0,0.0,0.0,2000,2012-09-24,0,35
974,36,Completed,0.3134,HR,Other,Employed,9.0,3583.333333,0.0,2000,2013-01-24,0,35
977,36,Completed,0.0945,AA,Debt Consolidation,Full-time,0.0,6666.666667,0.0,25000,2009-12-30,0,782
980,60,Completed,0.1819,B,Home Improvement,Employed,25.0,3916.666667,0.0,8500,2013-06-26,0,1
982,36,Completed,0.275,D,Debt Consolidation,Full-time,0.0,6875.0,0.0,6500,2010-08-03,0,187
987,36,Completed,0.135,B,Debt Consolidation,Full-time,0.0,9311.083333,0.0,2500,2010-06-09,0,125
988,36,Completed,0.322,E,Other,Not employed,0.0,0.0,0.0,1000,2010-12-21,0,29
990,60,Completed,0.1897,B,Debt Consolidation,Employed,0.0,10000.0,0.0,17500,2012-09-14,0,8
991,12,Completed,0.1109,B,Debt Consolidation,Employed,0.0,6416.666667,0.0,4981,2013-03-01,0,75
992,36,Completed,0.3177,HR,Other,Employed,0.0,4833.333333,0.0,2000,2012-10-26,0,5
996,36,Completed,0.1374,A,Business,Self-employed,0.0,14166.666667,0.0,3000,2010-02-19,0,107
1006,36,Completed,0.0655,AA,Auto,Employed,0.0,3000.0,0.0,2500,2011-01-28,0,44
1009,36,Completed,0.3125,HR,Other,Employed,0.0,6833.333333,3.0,3000,2011-04-12,0,30
1013,36,Completed,0.07,AA,Business,Full-time,0.0,5000.0,0.0,1000,2009-12-23,0,47
1018,36,Completed,0.2449,D,Other,Employed,6.0,4166.666667,0.0,9000,2012-09-13,0,181
1022,36,Completed,0.104,A,Other,Full-time,0.0,3416.666667,0.0,5000,2009-11-27,0,158
1024,36,Defaulted,0.2287,D,Other,Full-time,0.0,2033.333333,3.0,2000,2012-05-25,0,41
1025,60,Defaulted,0.2684,D,Debt Consolidation,Employed,0.0,3583.333333,0.0,11500,2012-09-28,0,177
1028,36,Completed,0.2399,D,Debt Consolidation,Full-time,0.0,2840.083333,0.0,3500,2010-03-23,0,209
1038,36,Defaulted,0.2699,D,Debt Consolidation,Employed,0.0,11666.666667,0.0,10000,2011-08-25,0,67
1044,36,Completed,0.0829,A,Auto,Employed,9.0,6233.333333,2.0,7500,2011-03-31,0,117
1045,36,Defaulted,0.3177,HR,Debt Consolidation,Employed,0.0,6072.0,0.0,4000,2012-06-22,0,32
1054,60,Completed,0.2579,D,Debt Consolidation,Employed,0.0,3081.666667,0.0,8000,2013-05-22,0,1
1056,36,Completed,0.071,AA,Auto,Full-time,0.0,2500.0,1.0,2500,2010-02-26,0,104
1058,36,Defaulted,0.1358,A,Home Improvement,Full-time,0.0,13750.0,0.0,4500,2009-09-30,0,194
1064,12,Completed,0.0608,A,Business,Employed,0.0,6250.0,0.0,2000,2012-04-13,0,17
1070,36,Completed,0.1799,B,Home Improvement,Employed,15.0,3350.0,0.0,5000,2011-09-29,0,82
1073,36,Completed,0.149,B,Debt Consolidation,Employed,0.0,8664.083333,0.0,15000,2010-11-26,0,415
1083,60,Completed,0.2468,C,Debt Consolidation,Employed,0.0,4166.666667,0.0,15000,2012-03-23,0,162
1086,36,Completed,0.2699,D,Debt Consolidation,Employed,49.0,1666.666667,0.0,2500,2011-09-13,0,14
1100,36,Completed,0.3177,HR,Debt Consolidation,Employed,5.0,4333.333333,0.0,4000,2012-02-29,0,1
1103,36,Defaulted,0.149,B,Debt Consolidation,Employed,0.0,6160.25,0.0,7500,2010-11-23,0,227
1112,60,Completed,0.2398,C,Debt Consolidation,Employed,0.0,6250.0,1.0,12000,2013-02-05,0,139
1117,36,Completed,0.2199,D,Auto,Employed,0.0,5000.0,2.0,7500,2011-02-25,1,92
1120,36,Completed,0.3199,HR,Business,Self-employed,26.0,4166.666667,0.0,4000,2011-09-30,0,11
1132,60,Completed,0.2124,B,Business,Employed,0.0,8333.333333,0.0,2000,2012-10-05,0,17
1137,36,Completed,0.3177,HR,Home Improvement,Employed,0.0,37500.0,0.0,4000,2012-11-08,0,80
1139,36,Completed,0.1768,B,Other,Employed,15.0,2500.0,0.0,2500,2012-05-17,0,13
1141,36,Completed,0.1768,B,Other,Employed,0.0,10000.0,0.0,7500,2012-05-31,0,18
1144,36,Completed,0.32,HR,Other,Full-time,0.0,2083.333333,0.0,1600,2010-08-11,0,81
1155,60,Completed,0.3097,E,Debt Consolidation,Employed,4.0,1233.333333,3.0,4000,2012-12-10,1,16
1159,36,Defaulted,0.3177,HR,Other,Other,11.0,2916.666667,0.0,4000,2012-03-05,0,4
1165,36,Completed,0.149,B,Debt Consolidation,Full-time,0.0,2000.0,0.0,8000,2010-11-16,0,182
1169,36,Completed,0.3065,C,Debt Consolidation,Full-time,0.0,7166.666667,1.0,9500,2010-01-15,0,168
1171,60,Defaulted,0.2433,C,Debt Consolidation,Employed,0.0,34813.25,0.0,25000,2012-07-31,0,5
1172,36,Completed,0.1385,B,Auto,Part-time,0.0,600.0,1.0,2000,2010-07-27,0,43
1179,36,Completed,0.3395,E,Other,Retired,0.0,3833.333333,1.0,1500,2009-10-22,0,44
1194,36,Completed,0.0999,A,Other,Employed,0.0,9133.333333,0.0,6000,2012-01-30,0,20
